               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.042984,            0.036466,           0.0026104,             0.65637,             0.31424,             0.31628,             0.12272,            0.036638,            0.031235,             0.00159,           0.0095055,           0.0095055,           0.0095055
                  36,            0.043029,            0.036776,           0.0021834,             0.69844,              0.3077,              0.3194,             0.12618,            0.036562,            0.031014,           0.0015621,           0.0094909,           0.0094909,           0.0094909
                  37,            0.042953,            0.037076,           0.0022735,              0.6881,             0.30894,             0.32035,             0.12739,             0.03649,            0.031026,           0.0015615,           0.0094764,           0.0094764,           0.0094764
                  38,            0.043021,             0.03707,           0.0022138,             0.64973,             0.31626,             0.31145,             0.12185,            0.036423,            0.030918,           0.0014743,           0.0094618,           0.0094618,           0.0094618
                  39,            0.042591,            0.036645,           0.0022745,             0.70713,              0.3165,             0.33382,             0.12891,            0.036306,            0.030839,           0.0014185,           0.0094473,           0.0094473,           0.0094473
                  40,            0.042672,            0.036629,           0.0022372,             0.68292,             0.32124,              0.3278,             0.12832,            0.036347,            0.030885,            0.001408,           0.0094327,           0.0094327,           0.0094327
                  41,            0.042683,            0.037186,           0.0021562,             0.69178,              0.3165,             0.33398,             0.12925,            0.036275,            0.030918,           0.0014233,           0.0094182,           0.0094182,           0.0094182
                  42,            0.042592,            0.037048,           0.0022294,             0.68838,             0.32447,             0.34214,             0.13571,             0.03618,            0.030837,           0.0013584,           0.0094036,           0.0094036,           0.0094036
                  43,            0.042492,            0.036794,           0.0020611,             0.69556,             0.32911,              0.3424,             0.13484,            0.036077,            0.030769,           0.0013241,           0.0093891,           0.0093891,           0.0093891
                  44,            0.042638,            0.036819,           0.0022909,             0.69274,             0.33338,             0.34588,             0.13663,            0.036049,            0.030777,           0.0013071,           0.0093745,           0.0093745,           0.0093745
                  45,            0.042073,            0.035933,           0.0020061,             0.71203,              0.3352,             0.35675,             0.14143,            0.035974,             0.03064,           0.0012452,             0.00936,             0.00936,             0.00936
                  46,            0.042425,            0.036586,           0.0020538,             0.74386,             0.32674,             0.36486,             0.14165,            0.035949,            0.030566,           0.0011976,           0.0093455,           0.0093455,           0.0093455
