               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.024717,           0.0047508,            0.027196,             0.63639,             0.39251,             0.40764,             0.20088,            0.022357,           0.0034142,            0.024781,           0.0096114,           0.0096114,           0.0096114
                  36,            0.024299,           0.0045102,            0.026322,             0.36112,             0.44016,             0.37918,             0.18518,            0.023367,           0.0035697,            0.025564,              0.0096,              0.0096,              0.0096
                  37,              0.0247,           0.0045688,            0.026194,             0.39194,             0.47384,             0.40848,             0.20287,             0.02188,           0.0034033,            0.024016,           0.0095886,           0.0095886,           0.0095886
                  38,            0.024762,           0.0046962,            0.026174,             0.43734,             0.45547,             0.42192,               0.206,            0.021825,           0.0034776,            0.023477,           0.0095771,           0.0095771,           0.0095771
                  39,            0.024677,           0.0044821,            0.025663,             0.44411,             0.49171,             0.44689,             0.22961,            0.021861,           0.0034773,            0.023553,           0.0095657,           0.0095657,           0.0095657
                  40,            0.024365,           0.0044097,            0.024959,             0.41632,             0.33182,             0.28007,              0.1286,            0.023362,           0.0036811,            0.032651,           0.0095543,           0.0095543,           0.0095543
                  41,            0.024426,           0.0044987,            0.025098,             0.38068,             0.51433,             0.44069,             0.21431,            0.022978,           0.0036458,            0.023422,           0.0095429,           0.0095429,           0.0095429
                  42,            0.024482,           0.0043034,            0.025443,             0.34067,             0.45598,             0.36674,             0.17308,            0.023343,            0.003829,            0.024275,           0.0095314,           0.0095314,           0.0095314
                  43,            0.024329,           0.0045965,            0.024057,              0.3295,              0.4989,             0.36982,             0.17674,            0.024549,           0.0036894,            0.027158,             0.00952,             0.00952,             0.00952
                  44,            0.023993,           0.0043062,            0.024048,             0.40059,             0.50069,             0.42407,             0.18817,            0.023621,           0.0034581,            0.024205,           0.0095086,           0.0095086,           0.0095086
                  45,            0.023837,           0.0044795,            0.023311,             0.39645,             0.57648,              0.4824,             0.24096,            0.020971,           0.0034265,            0.023169,           0.0094971,           0.0094971,           0.0094971
                  46,             0.02379,           0.0044179,            0.023384,             0.35903,             0.42968,             0.37051,             0.18586,            0.021004,           0.0040105,            0.023471,           0.0094857,           0.0094857,           0.0094857
                  47,            0.023811,            0.004316,            0.023836,             0.46541,              0.4724,             0.43195,              0.2075,            0.021875,           0.0042783,            0.021638,           0.0094743,           0.0094743,           0.0094743
                  48,            0.023781,            0.004421,            0.024587,             0.41734,              0.5098,             0.44682,             0.22851,            0.021333,           0.0033845,            0.022955,           0.0094629,           0.0094629,           0.0094629
                  49,            0.023406,           0.0042565,            0.023868,             0.43737,             0.49336,             0.44618,             0.22229,            0.021448,           0.0036584,            0.021588,           0.0094514,           0.0094514,           0.0094514
                  50,            0.023243,            0.004086,            0.021879,             0.44043,             0.47599,             0.42704,             0.20928,            0.022206,           0.0034967,            0.022296,             0.00944,             0.00944,             0.00944
                  51,            0.024108,           0.0042818,            0.024123,             0.34828,             0.46183,             0.34962,             0.17643,            0.022746,            0.004019,            0.023302,           0.0094286,           0.0094286,           0.0094286
                  52,            0.023798,            0.004171,            0.023645,             0.46224,             0.51368,             0.47698,             0.24418,            0.020939,           0.0033606,             0.01941,           0.0094171,           0.0094171,           0.0094171
                  53,            0.023548,             0.00456,            0.023294,             0.41331,              0.5062,             0.44383,             0.22306,            0.021821,           0.0034098,            0.026105,           0.0094057,           0.0094057,           0.0094057
                  54,            0.023204,           0.0044003,            0.022633,             0.50557,             0.46905,             0.48011,             0.24826,            0.021417,           0.0034266,            0.021031,           0.0093943,           0.0093943,           0.0093943
                  55,            0.022835,            0.004238,            0.021364,             0.47548,             0.47374,             0.44239,             0.21418,            0.022457,           0.0033502,            0.024854,           0.0093829,           0.0093829,           0.0093829
                  56,            0.023157,           0.0042789,            0.021583,             0.46289,              0.5131,             0.46478,             0.24248,            0.021135,           0.0033372,            0.019822,           0.0093714,           0.0093714,           0.0093714
